vid,cluster_head
0,26
10,17
11,34
12,3
14,37
15,17
16,17
17,17
18,17
19,17
20,37
21,3
22,34
23,3
24,37
25,34
26,26
27,17
28,17
29,26
3,3
30,17
31,17
32,37
33,26
34,34
35,26
36,37
37,37
4,17
5,37
7,17
8,3
9,34
