vid,cluster_head
0,5
1,33
10,20
11,25
12,20
14,5
15,20
16,25
17,25
18,20
19,20
2,20
20,20
21,8
22,25
23,8
24,20
25,25
26,33
27,20
28,20
29,33
3,8
30,20
31,25
32,20
33,33
4,20
5,5
7,20
8,8
9,25
