vid,cluster_head
0,2
1,28
10,16
11,16
12,2
14,16
15,16
16,16
17,9
18,16
19,2
2,2
20,16
21,16
22,16
23,16
24,2
25,25
26,16
27,2
28,28
3,16
4,28
5,28
6,28
7,2
8,28
9,9
