vid,cluster_head
0,27
1,5
10,16
11,16
12,16
14,27
15,16
16,16
17,16
18,16
19,16
2,27
20,16
21,26
22,16
23,16
24,27
25,16
26,26
27,27
3,26
4,8
5,5
6,8
7,16
8,8
9,16
