vid,cluster_head
0,8
1,1
10,31
11,1
12,31
14,1
15,31
16,31
17,31
18,1
19,1
2,1
20,8
21,8
22,1
23,8
24,32
25,31
26,8
27,32
28,29
29,29
3,8
30,1
31,31
32,32
4,29
5,8
7,1
8,8
9,31
