vid,cluster_head
0,20
1,1
10,30
11,21
12,20
14,1
15,1
16,21
17,1
18,30
19,1
2,20
20,20
21,21
22,1
23,21
24,1
25,1
26,8
27,1
28,1
3,20
30,30
4,1
5,8
7,1
8,8
9,1
