vid,cluster_head
0,39
10,23
11,23
12,33
14,39
15,23
16,23
17,23
18,23
19,23
20,39
22,34
23,23
24,23
25,25
26,39
27,23
28,23
29,23
3,23
30,23
31,23
32,23
33,33
34,34
35,39
36,23
37,23
38,23
39,39
4,23
40,34
41,23
5,39
7,23
8,34
9,34
