vid,cluster_head
0,16
1,5
10,16
11,16
12,16
14,16
15,25
16,16
17,25
18,16
19,16
2,16
20,16
21,26
22,26
23,16
24,16
25,25
26,26
3,26
4,8
5,5
6,8
7,16
8,8
9,25
