vid,cluster_head
0,25
10,12
11,12
12,12
14,25
15,12
16,12
18,12
19,12
20,25
22,12
23,23
24,12
25,25
26,26
27,12
28,25
29,12
3,23
30,12
31,12
32,12
33,33
34,26
35,25
36,12
37,12
38,12
39,25
4,12
40,12
41,12
42,12
43,12
44,23
45,12
5,26
7,12
8,12
9,12
