vid,cluster_head
0,26
10,25
11,34
12,3
14,5
15,25
16,34
17,34
18,25
19,25
20,5
21,3
22,34
23,3
24,5
25,25
26,26
27,25
28,25
29,25
3,3
30,25
31,25
32,25
33,26
34,34
35,26
36,25
37,5
4,25
5,5
7,25
8,3
9,34
