vid,cluster_head
0,1
1,1
10,15
11,16
12,1
14,1
15,15
16,16
17,15
18,1
19,1
2,1
20,1
21,1
22,16
23,16
24,1
25,25
3,1
4,5
5,5
6,5
7,1
8,5
9,25
