vid,cluster_head
0,1
1,1
10,31
11,16
12,31
14,29
15,31
16,16
17,31
18,1
19,1
2,1
20,21
21,21
22,1
23,21
24,1
25,16
26,21
27,1
28,29
29,29
3,21
30,1
31,31
4,29
5,1
7,1
8,21
9,16
