vid,cluster_head
0,25
10,12
11,12
12,12
14,12
15,12
16,12
17,12
18,12
19,12
20,25
22,9
23,23
24,12
25,25
26,25
27,12
28,12
29,12
3,23
30,12
31,12
32,12
33,33
34,23
35,12
36,12
37,12
38,12
39,25
4,12
40,12
41,12
42,12
43,12
44,23
5,12
7,12
8,9
9,9
