vid,cluster_head
0,25
10,23
11,23
12,23
14,26
15,23
16,23
18,23
19,23
20,25
22,23
23,23
24,23
25,25
26,26
27,23
28,25
29,23
3,23
30,23
31,23
32,23
33,33
34,34
35,25
36,23
37,25
38,23
39,25
4,25
40,23
41,23
42,23
43,23
44,23
45,23
46,23
47,23
5,26
7,23
8,23
9,26
