time,vid,speed,degree,avg_neighbor_dist,rel_speed_avg,keep_ratio,stable_label
16.0,4,13.44,1,140.53999999999996,10.08,1.0,1
16.0,5,10.49,1,35.829999999999984,10.49,1.0,1
16.0,7,3.36,1,140.53999999999996,10.08,1.0,1
16.0,8,0.0,1,35.829999999999984,10.49,1.0,1
17.0,4,13.9,1,132.22999999999996,8.31,1.0,1
17.0,5,11.17,1,45.370000000000005,9.55,1.0,1
17.0,7,5.59,1,132.22999999999996,8.31,1.0,1
17.0,8,1.62,1,45.370000000000005,9.55,1.0,1
18.0,4,14.0,1,125.13999999999993,7.09,1.0,1
18.0,5,11.23,1,52.56,7.19,1.0,1
18.0,7,6.91,1,125.13999999999993,7.09,1.0,1
18.0,8,4.04,1,52.56,7.19,1.0,1
19.0,4,14.2,1,120.38999999999999,4.75,1.0,1
19.0,5,11.52,1,57.969999999999985,5.39,1.0,1
19.0,7,9.45,1,120.38999999999999,4.75,1.0,1
19.0,8,6.13,1,57.969999999999985,5.39,1.0,1
20.0,4,14.28,1,117.55000000000007,2.83,1.0,1
20.0,5,10.74,1,61.18000000000001,3.2200000000000006,1.0,1
20.0,7,11.45,1,117.55000000000007,2.83,1.0,1
20.0,8,7.52,1,61.18000000000001,3.2200000000000006,1.0,1
21.0,0,9.79,1,142.10619831661114,1.4000000000000004,1.0,1
21.0,10,0.0,1,9.740000000000009,5.0,1.0,1
21.0,4,13.44,1,115.29999999999995,2.25,1.0,1
21.0,5,11.4,1,62.78,1.5999999999999996,1.0,1
21.0,7,11.19,2,128.70309915830555,1.8250000000000002,1.0,1
21.0,8,9.8,1,62.78,1.5999999999999996,1.0,1
21.0,9,5.0,1,9.740000000000009,5.0,1.0,1
22.0,0,12.38,1,133.99609434606668,1.040000000000001,1.0,1
22.0,1,2.81,1,13.847718223591917,2.81,1.0,1
22.0,10,2.53,1,14.059999999999945,4.33,1.0,1
22.0,11,0.0,1,13.847718223591917,2.81,1.0,1
22.0,4,13.49,1,113.13999999999999,2.1500000000000004,1.0,1
22.0,5,11.33,1,62.61,0.16000000000000014,1.0,1
22.0,7,11.34,2,123.56804717303334,1.5950000000000006,1.0,1
22.0,8,11.49,1,62.61,0.16000000000000014,1.0,1
22.0,9,6.86,1,14.059999999999945,4.33,1.0,1
23.0,0,14.3,1,128.22897683441133,2.8200000000000003,1.0,1
23.0,1,3.38,1,18.039769954187307,0.9099999999999997,1.0,1
23.0,10,4.3,1,18.370000000000005,4.319999999999999,1.0,1
23.0,11,2.47,1,18.039769954187307,0.9099999999999997,1.0,1
23.0,4,13.18,1,111.44000000000005,1.6999999999999993,0.0,0
23.0,5,10.86,1,61.02000000000001,1.5899999999999999,1.0,1
23.0,7,11.48,2,119.83448841720569,2.26,0.5,1
23.0,8,12.45,1,61.02000000000001,1.5899999999999999,1.0,1
23.0,9,8.62,1,18.370000000000005,4.319999999999999,1.0,1
24.0,0,14.06,1,124.77471057870659,2.58,1.0,1
24.0,1,4.88,1,23.86156113920457,0.8899999999999997,1.0,1
24.0,10,6.76,1,22.110000000000014,3.7300000000000004,1.0,1
24.0,11,3.99,1,23.86156113920457,0.8899999999999997,1.0,1
24.0,4,10.58,1,112.35000000000002,0.9000000000000004,0.0,0
24.0,5,10.41,1,59.21000000000001,1.8100000000000005,1.0,1
24.0,7,11.48,2,118.5623552893533,1.7400000000000002,0.5,1
24.0,8,12.22,1,59.21000000000001,1.8100000000000005,1.0,1
24.0,9,10.49,1,22.110000000000014,3.7300000000000004,1.0,1
25.0,0,14.42,1,124.11694848005247,2.8900000000000006,0.0,0
25.0,1,7.47,1,33.08418957750058,1.4299999999999997,1.0,1
25.0,10,8.84,1,24.519999999999982,2.42,1.0,1
25.0,11,6.04,1,33.08418957750058,1.4299999999999997,1.0,1
25.0,4,6.46,1,117.42000000000007,5.069999999999999,0.0,0
25.0,5,11.49,1,58.27,0.9299999999999997,1.0,1
25.0,7,11.53,2,120.76847424002628,3.98,0.0,0
25.0,8,12.42,1,58.27,0.9299999999999997,1.0,1
25.0,9,11.26,1,24.519999999999982,2.42,1.0,1
26.0,0,13.65,1,125.6172444372189,2.1400000000000006,0.0,0
26.0,1,9.87,1,45.5191838679034,1.8699999999999992,1.0,1
26.0,10,10.26,1,25.539999999999964,1.0199999999999996,1.0,1
26.0,11,8.0,1,45.5191838679034,1.8699999999999992,1.0,1
26.0,4,3.76,1,125.3820102726065,7.75,0.0,0
26.0,5,10.86,1,56.99,1.2800000000000011,1.0,1
26.0,7,11.51,2,125.49962735491269,4.945,0.0,0
26.0,8,12.14,1,56.99,1.2800000000000011,1.0,1
26.0,9,11.28,1,25.539999999999964,1.0199999999999996,1.0,1
27.0,0,13.88,1,129.50172392674935,1.8500000000000014,0.0,0
27.0,1,12.16,1,61.12605418313865,2.120000000000001,0.0,0
27.0,10,12.57,1,23.610000000000014,1.9299999999999997,1.0,1
27.0,11,10.04,1,61.12605418313865,2.120000000000001,0.0,0
27.0,4,2.95,1,138.13150437173994,9.079999999999998,0.0,0
27.0,5,10.8,1,55.44,1.549999999999999,1.0,1
27.0,7,12.03,2,133.81661414924463,5.465,0.0,0
27.0,8,12.35,1,55.44,1.549999999999999,1.0,1
27.0,9,10.64,1,23.610000000000014,1.9299999999999997,1.0,1
28.0,0,14.21,2,128.31362418046658,8.650000000000002,0.0,0
28.0,1,12.85,1,78.49474377307052,1.1099999999999994,0.0,0
28.0,10,11.97,1,23.150000000000034,0.46000000000000085,1.0,1
28.0,11,11.74,1,78.49474377307052,1.1099999999999994,0.0,0
28.0,14,0.0,2,84.79111675781171,12.665,0.5,1
28.0,5,10.86,1,53.870000000000005,1.5700000000000003,1.0,1
28.0,7,11.12,2,92.94621023820689,7.105,0.5,1
28.0,8,12.43,1,53.870000000000005,1.5700000000000003,1.0,1
28.0,9,11.51,1,23.150000000000034,0.46000000000000085,1.0,1
29.0,0,14.71,2,140.3753792336975,8.09,0.0,0
29.0,1,12.47,1,97.16250408465189,1.4399999999999995,0.0,0
29.0,10,12.46,1,21.430000000000007,1.7200000000000006,1.0,1
29.0,11,13.91,1,97.16250408465189,1.4399999999999995,0.0,0
29.0,14,1.96,2,85.60183459225495,11.035,0.5,1
29.0,5,7.83,1,49.05,4.8100000000000005,1.0,1
29.0,7,11.28,2,90.99517353910538,6.375000000000001,0.5,1
29.0,8,12.64,1,49.05,4.8100000000000005,1.0,1
29.0,9,10.74,1,21.430000000000007,1.7200000000000006,1.0,1
30.0,0,13.49,1,148.8451964290417,9.05,0.0,0
30.0,1,12.4,1,115.17125769913252,0.6600000000000001,0.0,0
30.0,10,11.13,2,51.10500000000002,5.585000000000001,1.0,1
30.0,11,13.06,1,115.17125769913252,0.6600000000000001,0.0,0
30.0,14,4.44,2,84.44118593934513,8.235,0.5,1
30.0,15,0.0,2,91.51000000000005,11.11,1.0,1
30.0,5,3.57,1,39.79,9.28,1.0,1
30.0,7,11.86,1,20.037175449648558,7.419999999999999,1.0,1
30.0,8,12.85,1,39.79,9.28,1.0,1
30.0,9,11.09,2,61.80500000000001,5.565,1.0,1
31.0,1,12.47,1,133.84396661784945,1.4499999999999993,0.0,0
31.0,10,11.22,2,55.61499999999998,4.65,1.0,1
